Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux,Value
2353,1.9414414414414407,0.8408106913731084,"[14, 5]",9,7,7,5,0,0,-7.744326981184871e-06
2354,1.990990990990991,0.8127434740861362,"[5, 29, 14]",9,7,7,2,0,0,-3.33165015500519e-06
2355,2.0945945945945947,0.832087038372587,"[17, 14, 5]",7,7,7,3,0,1,-1.368779362420633e-06
2356,2.130630630630631,0.77638130213017,"[14, 17, 5, 29]",9,8,6,0,0,1,5.125823607968978e-06
2357,2.081081081081081,0.7974522228289,"[5, 26, 17, 14]",9,7,7,0,0,1,1.364419763562948e-06
2358,2.036036036036036,0.8063989326099908,"[17, 5, 14, 26]",9,8,9,1,0,0,-1.104730838094451e-06
2359,2.0225225225225225,0.8371665943707141,"[5, 17, 14]",4,8,9,4,0,0,-4.459733644688951e-06
2360,2.121621621621621,0.7951101014177496,"[1, 14, 5]",0,7,6,1,0,1,3.055129107078832e-06
2361,2.072072072072072,0.8424453923703327,"[5, 14, 26]",9,7,9,3,0,0,-3.151178911112512e-06
2362,2.0675675675675675,0.8015440034905214,"[14, 5]",9,6,2,2,1,0,4.92627953776117e-07
2363,2.126126126126126,0.7742123963738583,"[5, 17, 14]",7,6,9,1,0,1,5.164091534195147e-06
2364,2.054054054054054,0.7591116246003612,"[14, 5, 17]",9,8,6,0,0,1,3.951688579079338e-06
2365,2.103603603603604,0.7628747639732995,"[14, 5]",9,8,7,0,0,1,5.401333316588439e-06
2366,1.9684684684684688,0.8037786307414237,"[14, 17, 5]",9,8,9,2,0,1,-3.315287145263992e-06
2367,1.972972972972973,0.8343253644387617,"[17, 5, 14, 29]",7,8,7,5,0,1,-5.995197315541306e-06
2368,2.027027027027027,0.8288842138623561,"[14, 5]",9,7,9,3,0,1,-3.5251096582994944e-06
2369,2.108108108108108,0.8111368632260447,"[14, 29, 17, 5]",5,7,9,2,0,0,1.0723308296889535e-06
2370,2.126126126126126,0.8251380481470101,"[3, 14, 26, 5]",9,7,0,1,0,2,4.235119059951381e-07
2371,2.0225225225225225,0.787019658540595,"[5, 14]",9,8,5,0,0,0,2.083566818102356e-07
2372,2.0855855855855854,0.8110489099129118,"[5, 14, 17]",9,8,9,4,0,1,2.623597115346391e-07
2373,2.0855855855855854,0.7531949261076852,"[5, 14, 17]",7,8,5,1,0,2,5.64788562014682e-06
2374,2.099099099099099,0.7954048453227989,"[14, 5, 26]",9,8,7,2,0,1,2.2095333759227257e-06
2375,2.081081081081081,0.8198348264848099,"[14, 5]",9,8,9,4,0,1,-7.191375640866319e-07
2376,2.036036036036036,0.8007680467893786,"[14, 17, 5]",9,7,9,2,0,1,-5.805615505059223e-07
2377,2.058558558558558,0.8022556964196214,"[14, 5, 29]",9,8,9,3,0,1,9.91142917800605e-08
2378,2.108108108108108,0.7885073974678759,"[14, 5, 26]",9,7,7,1,0,1,3.1788681175785443e-06
2379,2.045045045045045,0.7715224109129613,"[14, 5, 17]",9,8,9,0,0,1,2.469126827737704e-06
2380,2.0045045045045047,0.7580502958978642,"[14, 5, 17, 29]",9,7,7,1,0,1,2.2505370237370576e-06
2381,2.0225225225225225,0.8096907051164532,"[14, 5, 26, 17]",9,7,9,1,0,0,-1.90205129148836e-06
2382,2.126126126126126,0.7915517392855129,"[5, 17, 14]",9,7,7,1,0,1,3.550002506144657e-06
2383,2.063063063063063,0.8158972439879524,"[14, 26, 17, 5]",9,7,7,1,0,1,-1.0071217440731008e-06
2384,2.063063063063063,0.826914663226169,"[14, 5]",6,8,7,5,0,0,-2.032713982512825e-06
