Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux
91,2.0405405405405403,0.7746992852145429,"[17, 14, 5, 29]",6,8,7,2,0,1
92,2.027027027027027,0.8397312590951516,"[3, 17, 14, 29, 5]",9,7,0,4,0,2
93,2.0855855855855854,0.7826566715314206,"[14, 5]",8,7,8,2,0,2
94,1.9864864864864864,0.7756458685451882,"[28, 5, 14, 17]",8,7,7,2,0,1
95,2.108108108108108,0.7942252134106667,"[5, 26, 17, 14]",6,10,9,3,0,1
96,2.1216216216216215,0.8064115704079748,"[5, 14, 26]",8,6,9,2,0,2
97,2.1576576576576576,0.8001187185158061,"[17, 14, 5]",6,8,7,2,1,2
98,2.1666666666666665,0.792593923901217,"[14, 17, 5]",7,8,9,2,0,1
99,2.063063063063063,0.8377872091227945,"[5, 17, 14]",9,6,5,6,0,1
100,2.1126126126126126,0.7907402016127275,"[5, 26, 14]",9,8,7,3,0,0
101,2.171171171171171,0.8057920852149157,"[5, 14]",9,6,6,2,0,1
102,2.175675675675676,0.7614841683723098,"[14, 26, 5]",9,7,2,1,1,1
103,2.130630630630631,0.8326257645868875,"[17, 14, 5]",9,6,9,5,0,0
104,2.1396396396396398,0.809086326687362,"[14, 17, 26, 5]",9,8,7,3,0,2
105,2.144144144144144,0.811086605357833,"[14, 5, 26]",7,8,6,3,0,1
106,2.18018018018018,0.8149974121847509,"[14, 5, 17]",9,7,9,3,1,2
107,2.054054054054054,0.8275552813385176,"[5, 29, 14]",4,7,7,6,0,2
108,2.108108108108108,0.7769455375702022,"[5, 14]",9,7,6,3,0,2
109,2.0225225225225225,0.8479076920523672,"[5, 14, 17]",9,8,7,6,0,3
110,2.2117117117117115,0.7641561446107581,"[14, 5, 17]",9,6,8,3,0,1
111,2.1666666666666665,0.792593923901217,"[14, 5, 26]",7,8,9,2,0,1
112,2.1981981981981984,0.7823831770001496,"[32, 5, 14, 17, 29]",9,8,9,3,0,1
113,2.2027027027027026,0.8124550203446097,"[17, 14, 5, 26]",9,7,8,4,0,1
114,2.1036036036036037,0.8418282117430508,"[14, 28, 5, 26]",9,7,9,5,0,0
115,2.1036036036036037,0.8310085382083571,"[14, 5, 29]",9,8,7,5,0,3
116,2.0495495495495497,0.8195986076270692,"[14, 29, 5]",7,7,9,0,0,1
117,2.0855855855855854,0.8330662814527707,"[5, 14]",5,6,3,4,1,2
118,2.1531531531531534,0.8369109133536646,"[5, 14]",8,8,9,4,1,1
119,2.099099099099099,0.8178434831834329,"[14, 5, 17]",7,7,4,3,1,1
120,2.130630630630631,0.8216849252253488,"[14, 17, 5]",5,8,5,3,0,1
121,2.0405405405405403,0.7920279690635249,"[14, 5, 17]",9,7,7,1,0,1
122,2.1666666666666665,0.7694192830846545,"[14, 5, 8]",6,8,6,2,0,1
123,2.1216216216216215,0.828552180559849,"[5, 14, 17]",4,7,9,5,1,2
124,2.063063063063063,0.7584131955540958,"[14, 5]",3,7,2,2,1,1
125,2.081081081081081,0.8031063574959483,"[14, 17, 5]",9,8,7,1,0,1
126,2.1621621621621623,0.7906757581840481,"[14, 5]",9,7,2,3,1,1
127,2.1396396396396398,0.7921309000193595,"[14, 26, 5]",9,7,8,1,0,1
128,2.1576576576576576,0.7944433207999924,"[5, 26, 14, 25]",9,7,9,3,0,1
129,2.054054054054054,0.7997492575132488,"[14, 5]",8,8,5,4,0,1
130,2.099099099099099,0.806702185118088,"[14, 5, 17]",9,7,7,3,0,0
131,2.045045045045045,0.7889208780403245,"[14, 5]",8,8,7,3,0,1
132,2.0945945945945947,0.8044376735642,"[5, 17, 29, 14, 26]",9,6,6,2,0,0
133,2.1126126126126126,0.8243595750523394,"[5, 14, 17, 26]",1,6,7,3,1,2
134,2.0585585585585586,0.856803326320745,"[14, 5, 26]",7,8,5,6,0,0
135,2.099099099099099,0.7839447177267498,"[14, 5]",9,8,6,1,1,1
136,2.09009009009009,0.8188895422123721,"[5, 14, 29, 17]",9,6,7,3,0,0
137,2.09009009009009,0.8133451349760028,"[17, 5, 14]",7,7,5,5,0,1
138,2.0720720720720722,0.8261748712343142,"[5, 14, 17]",6,6,6,4,0,1
139,2.0765765765765765,0.8230233366445513,"[29, 14, 5, 26]",9,7,9,4,2,1
140,2.063063063063063,0.8214244253142174,"[5, 26, 14, 17]",9,7,9,4,0,1
141,2.054054054054054,0.7591116246003612,"[14, 17, 26, 5]",9,7,6,1,0,2
142,2.1486486486486487,0.8186032541826025,"[14, 5]",9,8,7,4,0,2
143,2.2387387387387387,0.7912040393515345,"[14, 26, 5, 17]",7,6,9,4,0,1
144,2.189189189189189,0.7671244244563783,"[14, 5, 17, 26]",6,6,9,0,0,1
145,2.018018018018018,0.8236546082558097,"[5, 14, 17]",7,7,7,4,0,1
146,2.081081081081081,0.8087209625118332,"[17, 14, 5, 26]",6,8,7,0,0,1
147,2.1576576576576576,0.7474904681121162,"[26, 14, 17, 5]",9,9,5,2,0,2
148,2.0855855855855854,0.7591787473777288,"[5, 14, 17]",9,7,9,1,1,1
149,2.0135135135135136,0.7814577961392896,"[17, 29, 5, 14]",7,7,7,1,0,1
150,2.027027027027027,0.817893325855459,"[5, 14, 26]",9,6,5,3,0,1
151,2.1936936936936937,0.7327848423711556,"[17, 14, 5, 29]",6,6,9,0,0,1
152,2.018018018018018,0.7784656213705152,"[14, 5, 17, 26]",5,8,7,1,0,1
153,2.1036036036036037,0.7628747639732995,"[14, 5, 17, 29]",9,8,6,1,1,1
154,2.1216216216216215,0.806411570407975,"[14, 5]",9,8,9,5,0,3
155,2.0765765765765765,0.7777976746020018,"[5, 17, 14, 29]",9,8,8,1,0,1
156,2.0675675675675675,0.778635790667876,"[14, 5, 17]",9,8,2,1,1,2
157,2.1621621621621623,0.7733167742348221,"[5, 14, 17]",7,8,6,1,0,1
158,2.108108108108108,0.782747815139657,"[5, 26, 14]",4,7,7,1,0,2
159,1.9954954954954955,0.8155599234068583,"[3, 5, 17, 14]",6,7,0,2,0,1
160,2.108108108108108,0.7942252134106665,"[14, 17, 5]",7,7,7,3,0,0
161,2.1486486486486487,0.8130568946898431,"[5, 17, 26, 14]",7,8,9,3,0,2
162,2.135135135135135,0.7957635166404936,"[14, 5]",6,7,6,2,0,1
163,2.0945945945945947,0.8044376735642,"[5, 17, 14]",9,7,8,0,0,0
164,2.099099099099099,0.8178434831834329,"[5, 17, 14]",7,7,8,2,0,0
165,2.0135135135135136,0.8264831983725527,"[17, 5, 14]",9,8,9,2,0,2
166,2.0315315315315314,0.798129258629767,"[14, 5]",7,6,7,1,0,1
167,2.0405405405405403,0.8033727972057582,"[14, 5]",8,8,8,0,0,2
168,2.0945945945945947,0.8211390210654653,"[14, 5, 17]",7,8,5,4,1,2
169,2.135135135135135,0.7549113577940474,"[5, 26, 14]",7,7,6,0,0,1
170,2.018018018018018,0.801378698667744,"[14, 5, 17]",9,7,7,2,0,1
171,2.1171171171171173,0.7872138708948211,"[5, 14, 29, 26, 17]",8,7,6,1,0,0
172,2.081081081081081,0.8142968555519061,"[14, 29, 5]",9,7,3,4,1,1
173,2.018018018018018,0.8345696263418312,"[5, 14, 17, 28]",8,6,5,4,0,2
174,2.1036036036036037,0.7919764985689903,"[28, 5, 14]",8,7,8,3,0,1
175,2.0720720720720722,0.7811316968436159,"[5, 14]",9,8,7,4,0,2
176,2.099099099099099,0.7664332972834004,"[14, 5, 17, 29]",9,8,2,1,1,1
177,2.009009009009009,0.812743474086136,"[14, 17, 5]",8,7,9,4,1,0
178,2.081081081081081,0.7802440172329329,"[14, 5]",9,8,9,0,0,1
179,2.054054054054054,0.8109860802777719,"[5, 14, 17]",9,7,9,5,0,2
180,2.054054054054054,0.78259156245517,"[5, 14, 17]",9,8,9,2,0,1
181,2.0405405405405403,0.792027969063525,"[17, 5, 14]",9,6,3,1,1,3
182,2.09009009009009,0.8243966618688144,"[14, 5, 26]",9,8,5,3,0,1
183,2.1486486486486487,0.7847373096931292,"[14, 5]",8,7,6,2,0,1
184,2.0855855855855854,0.8276168531016577,"[14, 17, 5]",9,7,9,4,0,1
185,2.1981981981981984,0.7881454240230692,"[5, 17, 14]",6,8,6,2,2,1
186,2.0765765765765765,0.8007298655844591,"[5, 17, 14]",9,8,9,3,0,2
187,2.0,0.807207352795575,"[14, 5, 17]",3,7,7,2,0,1
188,2.054054054054054,0.788352286342648,"[14, 5, 17]",9,6,9,2,0,0
189,2.1576576576576576,0.7944433207999924,"[17, 5, 26, 14]",6,7,8,3,0,1
190,2.054054054054054,0.7767881177453528,"[14, 5]",8,8,9,0,0,1
191,2.108108108108108,0.8055390972066664,"[5, 17, 14]",6,7,9,3,0,1
192,2.0675675675675675,0.8015440034905214,"[5, 29, 14]",9,8,9,2,0,1
193,2.1171171171171173,0.8319278025011886,"[14, 26, 17, 5]",8,6,9,4,0,1
194,2.099099099099099,0.7839447177267498,"[5, 14, 17]",9,6,2,2,1,1
195,2.135135135135135,0.8453919435486419,"[5, 14]",6,9,6,6,1,3
196,2.1216216216216215,0.828552180559849,"[5, 14]",6,7,6,3,1,1
197,2.126126126126126,0.7683456650123668,"[5, 14, 17]",9,6,7,1,0,1
198,2.1576576576576576,0.8169083700062963,"[14, 5, 29]",9,8,7,5,0,0
199,2.126126126126126,0.8196359098674247,"[14, 17, 5]",4,8,9,3,1,1
200,2.099099099099099,0.7723145556962921,"[14, 5, 26]",9,8,8,1,0,1
201,2.1171171171171173,0.7929410143792943,"[5, 17, 14]",5,7,7,1,0,1
202,2.0855855855855854,0.7884169196867215,"[5, 14, 17, 29]",9,8,5,2,0,1
203,2.0585585585585586,0.7851527756881226,"[17, 5, 14]",9,7,5,1,0,1
204,2.135135135135135,0.7668055200882193,"[5, 17, 14]",9,8,2,2,1,1
205,2.126126126126126,0.7800350046341565,"[14, 5, 17]",7,8,5,2,0,1
206,2.081081081081081,0.8308000302291101,"[14, 17, 5]",9,7,9,3,0,1
207,2.184684684684685,0.7652755926498351,"[5, 14, 28, 17]",9,8,8,0,0,1
