Id,Mean,Std,Problems,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3
324,2.062992125984252,0.8042351339820701,['86 non attribué'],"[16, 26, 5]",1,6,1
325,1.9763779527559056,0.781376145921299,[],"[5, 16, 26, 23]",4,3,7
326,2.0236220472440944,0.8495056165358381,"[(16, 'Pas assez : 1<8.0'), '86 non attribué']","[26, 5, 23]",8,6,1
327,2.2755905511811023,0.7835325517121485,[],"[5, 16, 26, 17]",6,0,1
328,2.1102362204724407,0.8089611843131193,['86 non attribué'],"[5, 16, 26, 23]",8,1,1
329,2.118110236220472,0.7623498887196721,[],"[5, 16, 26, 23]",10,6,4
330,2.15748031496063,0.7910731795498283,[],"[16, 5, 26, 23]",3,6,3
332,2.0,0.8451542547285166,[],"[26, 16, 5, 23]",8,6,5
333,2.251968503937008,0.7864780235580696,"[(16, 'Pas assez : 1<8.0')]","[5, 26, 23]",0,2,0
334,2.1102362204724407,0.8283503060126894,[],"[16, 5, 26]",1,6,1
335,2.1181102362204722,0.832038739447874,[],"[5, 26, 16, 23]",2,2,1
336,2.1653543307086616,0.7534447823961521,[],"[5, 16, 26]",2,4,6
337,2.1102362204724407,0.7789731382443408,[],"[16, 5, 26]",1,6,1
338,1.921259842519685,0.7928880224047975,[],"[16, 5, 23, 26]",11,6,4
339,1.984251968503937,0.7866369240594504,[],"[16, 26, 5]",10,0,0
340,2.1102362204724407,0.7890957901162905,[],"[5, 16, 26]",10,4,3
341,2.031496062992126,0.881350045533643,"[(16, 'Pas assez : 1<8.0'), '153 non attribué']","[17, 19, 5, 26, 23]",10,6,2
342,2.078740157480315,0.8223688124509821,['139 non attribué'],"[5, 16, 23, 26]",11,0,7
343,2.125984251968504,0.786716362274655,[],"[16, 5, 23, 17, 26]",2,0,7
344,2.015748031496063,0.8260083012813956,[],"[16, 5, 26]",3,3,7
345,1.9763779527559056,0.7711521675660437,[],"[16, 23, 5, 26]",2,5,6
346,2.2125984251968505,0.8128913832424856,['153 non attribué'],"[16, 5, 19, 23, 26]",10,0,4
347,1.858267716535433,0.7634966497033479,[],"[5, 16, 26]",10,6,4
348,1.9763779527559056,0.8401111692228109,[],"[5, 16, 26, 23]",5,6,2
349,2.1181102362204722,0.8029130814247328,[],"[16, 5, 26, 23]",3,0,6
350,2.1968503937007875,0.7972111118175658,[],"[5, 16, 23, 26]",3,6,7
351,2.047244094488189,0.7954061328249129,[],"[16, 5, 23, 26]",5,6,5
352,2.1496062992125986,0.8074921018580797,[],"[16, 5, 26]",2,6,5
353,2.0,0.7867957924694432,[],"[16, 26, 5, 23]",1,1,2
354,1.8818897637795275,0.8127376158367322,[],"[16, 5, 26, 23]",9,3,1
355,2.2125984251968505,0.762513817307465,"[(16, 'Pas assez : 1<8.0')]","[5, 19, 26]",3,1,2
356,2.1023622047244093,0.7646416908497579,[],"[16, 5, 23, 26]",8,3,7
357,2.0236220472440944,0.7711521675660437,[],"[16, 5, 26]",7,4,5
358,2.0,0.8067178260046389,[],"[5, 16, 23, 26]",2,6,7
359,2.031496062992126,0.8158840552744266,"[(5, 'Pas assez : 1<8.0')]","[16, 26]",1,6,0
360,2.094488188976378,0.7499531293940735,[],"[16, 5, 26]",10,0,4
361,2.0,0.8261595987094035,[],"[16, 26, 5, 17, 23]",10,3,3
362,2.1653543307086616,0.8141972336959147,['262 non attribué'],"[16, 26, 5, 17, 23]",9,4,0
363,2.1102362204724407,0.8187131448793896,[],"[26, 16, 5, 17, 23]",1,3,5
364,1.889763779527559,0.7583225688057852,[],"[19, 16, 26, 23, 5]",10,5,5
365,2.0236220472440944,0.781376145921299,[],"[16, 26, 5]",9,6,0
366,1.984251968503937,0.8543469795140757,['86 non attribué'],"[16, 5, 23, 26]",11,6,0
367,2.0,0.7968190728895957,[],"[16, 5, 26, 23]",1,3,2
368,1.9921259842519685,0.8017447540637024,[],"[5, 26, 16, 23]",11,0,6
369,2.078740157480315,0.7928880224047976,[],"[16, 5, 26]",0,1,7
370,2.0236220472440944,0.8112753718891452,[],"[5, 16, 26, 17, 23]",11,2,2
371,1.9291338582677164,0.7682292808605408,[],"[5, 16, 26]",11,6,5
372,1.8031496062992125,0.7667636592760195,[],"[16, 26, 5, 23]",1,6,2
373,1.9448818897637796,0.7797749636117881,[],"[5, 16, 26, 23]",10,6,2
374,2.0866141732283463,0.8263864929139035,['262 non attribué'],"[16, 23, 17, 5, 26]",2,5,5
375,2.2440944881889764,0.7939906783774802,[],"[5, 16, 17, 26, 23]",3,0,6
376,1.984251968503937,0.8065628816402012,[],"[5, 26, 19, 16, 23]",10,6,2
377,2.0,0.7559289460184544,[],"[16, 5, 19, 26]",10,1,2
378,1.905511811023622,0.7911521723284513,[],"[5, 16, 26, 23]",10,3,4
379,2.062992125984252,0.8140437129566042,[],"[16, 5, 19, 26, 23]",8,6,1
380,2.062992125984252,0.8333145854659008,['262 non attribué'],"[16, 5, 26, 17]",0,6,5
381,1.9606299212598426,0.8300083648760893,[],"[5, 16, 17, 23, 26]",10,1,2
382,2.078740157480315,0.8508287203139572,"['86 non attribué', '153 non attribué']","[19, 16, 5, 26, 23]",10,6,2
383,1.9763779527559056,0.858797303441825,['153 non attribué'],"[5, 26, 16, 23]",10,6,0
