Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux
129,2.018018018018018,0.8399739489817525,"[17, 29, 14, 5]",6,6,5,2,0,1
130,2.063063063063063,0.8103323632877316,"[14, 17, 26, 5]",7,8,7,4,0,2
131,2.0315315315315314,0.8259898197067457,"[29, 5, 17, 14]",4,7,9,4,0,2
132,1.990990990990991,0.7844125737718137,"[17, 14, 5, 26]",9,6,5,1,0,1
133,2.054054054054054,0.8053872662568292,"[3, 5, 14, 26, 17]",2,7,0,1,2,1
134,2.045045045045045,0.7831643365554003,"[17, 5, 14]",6,6,9,1,0,1
135,2.099099099099099,0.736322708061095,"[17, 5, 14, 26]",8,8,2,1,2,1
136,2.1036036036036037,0.7509183430946437,"[14, 17, 5, 29]",7,6,5,2,0,1
137,2.063063063063063,0.7761055962029546,"[14, 29, 5]",4,6,5,2,0,1
138,2.054054054054054,0.8330051124854692,"[29, 17, 5, 14]",6,7,5,4,0,1
139,2.063063063063063,0.7761055962029545,"[28, 5, 17, 14]",6,7,9,1,0,1
140,2.0675675675675675,0.7550328466274591,"[5, 14, 17, 29]",3,8,7,1,0,1
141,1.9864864864864864,0.8691793067240919,"[5, 14, 17]",9,6,5,7,0,1
142,2.09009009009009,0.7734221953755527,"[8, 14, 17, 5]",9,8,4,1,1,1
143,2.1171171171171173,0.7638760262677337,"[14, 5, 17]",7,7,7,0,0,1
144,2.1576576576576576,0.7944433207999924,"[5, 14, 17]",2,8,9,3,1,2
145,2.081081081081081,0.7860219463751896,"[26, 5, 17, 14]",6,7,7,2,1,0
146,2.0855855855855854,0.8384802937751149,"[3, 17, 5, 26, 29, 14]",6,6,0,4,0,2
147,2.09009009009009,0.7496551188892897,"[10, 14, 5, 17, 29]",9,6,5,1,0,1
148,2.1216216216216215,0.7421267476487012,"[5, 17, 14]",4,7,4,0,1,0
149,2.009009009009009,0.8666312319701863,"[21, 17, 14, 5]",9,8,9,7,0,1
150,2.063063063063063,0.8158972439879524,"[17, 29, 14, 5]",7,6,9,2,0,1
151,2.099099099099099,0.7605065584392083,"[5, 14, 17]",5,8,6,1,0,1
152,2.108108108108108,0.782747815139657,"[26, 5, 14]",6,9,6,1,1,1
153,2.0765765765765765,0.8119531175814391,"[5, 26, 29, 14]",7,6,2,2,1,1
154,2.0225225225225225,0.8371665943707141,"[10, 29, 17, 14, 5]",4,6,7,6,0,1
155,2.0765765765765765,0.8063610180276339,"[28, 14, 17, 26, 5]",7,7,6,3,2,1
156,2.0225225225225225,0.809690705116453,"[26, 17, 29, 5, 14]",7,7,2,2,1,2
157,2.0045045045045047,0.7757509731723241,"[29, 5, 14, 17]",9,7,5,1,1,2
158,2.054054054054054,0.8384195198005503,"[14, 17, 29, 5]",5,8,7,3,2,1
159,2.0855855855855854,0.7884169196867215,"[17, 14, 5]",6,8,2,0,1,1
160,2.1171171171171173,0.8042729634870093,"[17, 5, 14]",8,8,9,2,2,2
161,2.099099099099099,0.7605065584392083,"[17, 5, 14]",5,7,7,1,0,1
162,1.9639639639639639,0.8119907710498862,"[28, 17, 14, 5, 26]",4,6,9,3,0,1
163,2.1216216216216215,0.7893986949703475,"[14, 17, 5, 26]",9,6,9,0,1,1
164,2.126126126126126,0.7564757189969709,"[14, 5, 17]",6,6,5,1,2,1
165,2.0720720720720722,0.7811316968436159,"[14, 29, 17, 5]",9,7,7,3,1,2
166,1.9864864864864864,0.8319400524964407,"[17, 14, 5]",3,6,7,6,1,1
167,2.0405405405405403,0.8255949044857464,"[3, 17, 29, 14, 5]",4,8,0,1,1,1
168,1.9954954954954955,0.781562119177653,"[14, 5, 17]",3,7,3,3,1,1
169,2.0945945945945947,0.7758035201461139,"[17, 14, 29, 5]",3,8,7,2,0,1
170,2.0720720720720722,0.7694590179486329,"[8, 17, 5, 14, 26]",7,8,9,2,0,1
171,2.036036036036036,0.7661141052251549,"[29, 5, 26, 17, 14]",4,8,2,2,1,1
172,2.0495495495495497,0.7504296053304115,"[29, 14, 17, 5, 26]",9,8,2,1,1,2
173,2.1621621621621623,0.7555590725059044,"[14, 29, 5]",9,8,2,0,2,2
174,2.1126126126126126,0.7615912274102535,"[5, 14, 17]",7,6,2,0,2,1
175,2.0765765765765765,0.8711000955472542,"[5, 26, 14, 17, 29]",5,6,9,6,0,1
176,2.054054054054054,0.8330051124854692,"[17, 14, 5, 29]",6,9,7,6,1,2
177,2.0495495495495497,0.7623936909941407,"[5, 14, 17]",9,9,2,1,2,2
178,2.036036036036036,0.8339832775858357,"[5, 14, 17]",2,7,7,5,2,2
179,2.027027027027027,0.7605601586477846,"[17, 5, 14, 29]",1,8,2,1,3,2
180,2.0855855855855854,0.7884169196867212,"[17, 5, 14, 29]",7,8,2,1,2,2
181,2.0585585585585586,0.8299777534464475,"[5, 14, 29, 17]",2,8,5,4,1,1
182,2.0675675675675675,0.7958787695220653,"[17, 29, 14, 5]",9,9,2,2,1,2
183,2.1171171171171173,0.7697768230222573,"[29, 14, 26, 5]",7,7,7,2,0,2
184,2.0495495495495497,0.8140590297199426,"[5, 14, 29]",5,8,5,2,0,2
185,2.1036036036036037,0.7687832459562145,"[14, 5, 17]",7,8,6,0,1,1
186,2.036036036036036,0.8230604836714619,"[17, 14, 5, 29]",8,9,9,2,0,1
187,1.9774774774774775,0.7517321999192387,"[17, 14, 5]",4,8,3,2,2,1
188,2.108108108108108,0.8277030458752436,"[5, 17, 14, 26, 29]",5,8,6,3,0,2
189,2.0945945945945947,0.7758035201461139,"[14, 17, 5, 29, 26]",6,8,7,0,1,1
190,2.081081081081081,0.7626476284371552,"[14, 5, 29, 17]",9,6,7,1,0,0
191,2.130630630630631,0.77638130213017,"[5, 17, 14]",4,6,5,1,1,2
192,2.130630630630631,0.8434246921718687,"[17, 14, 5]",4,8,6,4,1,2
193,2.045045045045045,0.7597021015040276,"[14, 29, 17, 5]",9,8,7,1,0,1
194,2.1171171171171173,0.7579292907329332,"[26, 17, 29, 14, 5]",8,7,4,2,1,1
195,2.135135135135135,0.7608816806061954,"[5, 17, 14, 26]",6,8,2,1,1,1
196,2.063063063063063,0.7702532847718908,"[5, 14, 17, 26]",7,9,3,0,1,2
197,2.045045045045045,0.8602576420070012,"[5, 17, 26, 14]",9,6,7,6,0,0
198,2.0585585585585586,0.7908948444176503,"[5, 14]",4,10,4,0,1,2
199,2.1036036036036037,0.7804660317876014,"[14, 17, 5, 26]",6,9,4,2,1,2
200,2.135135135135135,0.7243219514471253,"[17, 5, 14]",4,8,6,0,0,1
201,2.1036036036036037,0.7976694478549707,"[5, 14, 29, 17, 26]",5,8,6,1,1,1
