Id,Mean,Std,Problems,TMnonouverts
22,1.952755905511811,0.8247969227358518,"['139 non attribué', '153 non attribué']","[26, 16, 23, 5]"
23,1.9606299212598426,0.8489169084841643,['147 non attribué'],"[5, 16, 26, 23, 19]"
24,2.062992125984252,0.8237355051697056,"['48 non attribué', '251 non attribué', '119 non attribué']","[16, 5, 4, 23, 26]"
25,2.015748031496063,0.7661929382000866,[],"[16, 23, 5, 26]"
26,1.952755905511811,0.7853648198528295,[],"[16, 5, 26]"
27,2.2125984251968505,0.8030687299832224,"[(19, 'Pas assez : 1<4.0')]","[16, 17, 5, 26]"
28,2.078740157480315,0.822368812450982,['262 non attribué'],"[16, 19, 5, 26, 23, 17]"
29,2.062992125984252,0.8614129358032961,['153 non attribué'],"[16, 26, 23, 5]"
30,1.8818897637795275,0.7828942358817876,['153 non attribué'],"[16, 26, 5]"
31,2.1102362204724407,0.847295852236601,"[(17, 'Pas assez : 1<6.0')]","[5, 16, 19, 23, 26]"
32,2.031496062992126,0.7861601262033048,['147 non attribué'],"[5, 16, 26, 19]"
33,2.0551181102362204,0.7486186921635859,[],"[16, 5, 26]"
34,2.1811023622047245,0.780896135957341,[],"[5, 16, 26, 23]"
35,2.204724409448819,0.8294058178893228,[],"[5, 16, 17, 23, 26]"
36,1.952755905511811,0.7544394294066421,[],"[16, 5, 26]"
37,2.031496062992126,0.835112461526635,"['86 non attribué', '147 non attribué']","[16, 5, 26, 23]"
38,1.968503937007874,0.7961914090876715,['86 non attribué'],"[16, 5, 23, 26]"
39,2.062992125984252,0.8237355051697056,[],"[5, 16, 19, 26, 17]"
40,1.968503937007874,0.7657034101308184,[],"[16, 5, 26]"
41,1.968503937007874,0.8722986225422684,"['179 non attribué', (10, 'Pas assez : 1<10.0'), '153 non attribué', '118 non attribué']","[16, 23, 5, 26]"
42,2.0866141732283463,0.7666006394678039,"[(10, 'Pas assez : 2<10.0')]","[5, 16, 26, 23]"
43,2.1653543307086616,0.8238872199707288,['153 non attribué'],"[5, 16, 23, 26]"
44,2.1023622047244093,0.824569591134473,['139 non attribué'],"[16, 5, 23, 26]"
45,2.078740157480315,0.8126607212232069,"[(5, 'Pas assez : 1<8.0')]","[16, 23, 26]"
